food_id,canonical_name,entity_type,state,country_region,cuisine,primary_source_id,primary_source_record_id,data_status
GF-ING-00037,"Lentil, dal",ingredient,unspecified,India,,SRC-IFCT2017,B013,source_mapped
GF-ING-00038,"Lentil, whole, brown",ingredient,whole,India,,SRC-IFCT2017,B014,source_mapped
GF-ING-00039,"Lentil, whole, yellowish",ingredient,whole,India,,SRC-IFCT2017,B015,source_mapped
GF-ING-00040,Moth bean,ingredient,unspecified,India,,SRC-IFCT2017,B016,source_mapped
GF-ING-00041,"Peas, dry",ingredient,unspecified,India,,SRC-IFCT2017,B017,source_mapped
GF-ING-00042,"Rajmah, black",ingredient,unspecified,India,,SRC-IFCT2017,B018,source_mapped
GF-ING-00043,"Rajmah, brown",ingredient,unspecified,India,,SRC-IFCT2017,B019,source_mapped
GF-ING-00044,"Rajmah, red",ingredient,unspecified,India,,SRC-IFCT2017,B020,source_mapped
GF-ING-00045,"Red gram, dal",ingredient,unspecified,India,,SRC-IFCT2017,B021,source_mapped
GF-ING-00046,"Red gram, whole",ingredient,whole,India,,SRC-IFCT2017,B022,source_mapped
GF-ING-00047,Ricebean,ingredient,unspecified,India,,SRC-IFCT2017,B023,source_mapped
GF-ING-00048,"Soya bean, brown",ingredient,unspecified,India,,SRC-IFCT2017,B024,source_mapped
GF-ING-00049,"Soya bean, white",ingredient,unspecified,India,,SRC-IFCT2017,B025,source_mapped
GF-ING-00050,Agathi leaves,ingredient,unspecified,India,,SRC-IFCT2017,C001,source_mapped
GF-ING-00051,"Amaranth leaves, green",ingredient,unspecified,India,,SRC-IFCT2017,C002,source_mapped
GF-ING-00052,"Amaranth leaves, red",ingredient,unspecified,India,,SRC-IFCT2017,C003,source_mapped
GF-ING-00053,"Amaranth leaves, red and green",ingredient,unspecified,India,,SRC-IFCT2017,C004,source_mapped
GF-ING-00054,"Amaranth, spinous, leaves, green",ingredient,unspecified,India,,SRC-IFCT2017,C005,source_mapped
GF-ING-00055,"Amaranth, spinous, leaves, red and green",ingredient,unspecified,India,,SRC-IFCT2017,C006,source_mapped
GF-ING-00056,Basella leaves,ingredient,unspecified,India,,SRC-IFCT2017,C007,source_mapped
GF-ING-00057,Bathua leaves,ingredient,unspecified,India,,SRC-IFCT2017,C008,source_mapped
GF-ING-00058,Beetroot leaves,ingredient,unspecified,India,,SRC-IFCT2017,C009,source_mapped
GF-ING-00059,"Betel leaves, big (kolkata)",ingredient,unspecified,India,,SRC-IFCT2017,C010,source_mapped
GF-ING-00060,"Betel leaves, small",ingredient,unspecified,India,,SRC-IFCT2017,C011,source_mapped
GF-ING-00061,Brussels sprouts,ingredient,unspecified,India,,SRC-IFCT2017,C012,source_mapped
GF-ING-00062,"Cabbage, Chinese",ingredient,unspecified,India,,SRC-IFCT2017,C013,source_mapped
GF-ING-00063,"Cabbage, collard greens",ingredient,unspecified,India,,SRC-IFCT2017,C014,source_mapped
GF-ING-00064,"Cabbage, green",ingredient,unspecified,India,,SRC-IFCT2017,C015,source_mapped
GF-ING-00065,"Cabbage, violet",ingredient,unspecified,India,,SRC-IFCT2017,C016,source_mapped
GF-ING-00066,Cauliflower leaves,ingredient,unspecified,India,,SRC-IFCT2017,C017,source_mapped
GF-ING-00067,"Colocasia leaves, green",ingredient,unspecified,India,,SRC-IFCT2017,C018,source_mapped
GF-ING-00068,Drumstick leaves,ingredient,unspecified,India,,SRC-IFCT2017,C019,source_mapped
GF-ING-00069,Fenugreek leaves,ingredient,unspecified,India,,SRC-IFCT2017,C020,source_mapped
GF-ING-00070,Garden cress,ingredient,unspecified,India,,SRC-IFCT2017,C021,source_mapped
GF-ING-00071,"Gogu leaves, green stem",ingredient,unspecified,India,,SRC-IFCT2017,C022,source_mapped
GF-ING-00072,"Gogu leaves, red stem",ingredient,unspecified,India,,SRC-IFCT2017,C023,source_mapped
GF-ING-00073,"Knol-Khol, leaves",ingredient,unspecified,India,,SRC-IFCT2017,C024,source_mapped
GF-ING-00074,Lettuce,ingredient,unspecified,India,,SRC-IFCT2017,C025,source_mapped
