food_id,recipe_code,recipe_name,recipe_source_type,source_id,source_record_id
GF-REC-00240,ASC248,Fried fish and Chips (English Style) (Tali hui machli aur chips),asc_manual,SRC-INDB,ASC248
GF-REC-00241,ASC249,Tomato fish,asc_manual,SRC-INDB,ASC249
GF-REC-00242,ASC250,Baked fish with cheese sauce,asc_manual,SRC-INDB,ASC250
GF-REC-00243,ASC251,Fish tikka,asc_manual,SRC-INDB,ASC251
GF-REC-00244,ASC252,Tandoori fish,asc_manual,SRC-INDB,ASC252
GF-REC-00245,ASC253,"Paneer, apple and pineapple salad",asc_manual,SRC-INDB,ASC253
GF-REC-00246,ASC254,Russian salad,asc_manual,SRC-INDB,ASC254
GF-REC-00247,ASC255,Pasta salad,asc_manual,SRC-INDB,ASC255
GF-REC-00248,ASC256,Deviled egg,asc_manual,SRC-INDB,ASC256
GF-REC-00249,ASC257,Hawain salad,asc_manual,SRC-INDB,ASC257
GF-REC-00250,ASC258,Mixed pulse and vegetable salad,asc_manual,SRC-INDB,ASC258
GF-REC-00251,ASC259,Sprouted moong salad ,asc_manual,SRC-INDB,ASC259
GF-REC-00252,ASC260,Tossed salad,asc_manual,SRC-INDB,ASC260
GF-REC-00253,ASC261,Mixed vegetable salad with curd sauce,asc_manual,SRC-INDB,ASC261
GF-REC-00254,ASC262,Potato salad (Aloo ka salaad),asc_manual,SRC-INDB,ASC262
GF-REC-00255,ASC263,Waldroff salad,asc_manual,SRC-INDB,ASC263
GF-REC-00256,ASC264,Coleslaw,asc_manual,SRC-INDB,ASC264
GF-REC-00257,ASC265,Fruit salad (Phalon ka salaad),asc_manual,SRC-INDB,ASC265
GF-REC-00258,ASC266,Mayonnaise,asc_manual,SRC-INDB,ASC266
GF-REC-00259,ASC267,Low calorie quick mayonnaise,asc_manual,SRC-INDB,ASC267
GF-REC-00260,ASC268,Thousand island dressing,asc_manual,SRC-INDB,ASC268
GF-REC-00261,ASC269,Tomato onion raita (Tamatar aur pyaaz ka raita),asc_manual,SRC-INDB,ASC269
GF-REC-00262,ASC270,Peanut raita (Mungfali ka raita),asc_manual,SRC-INDB,ASC270
GF-REC-00263,ASC271,Sprouted moong raita ,asc_manual,SRC-INDB,ASC271
GF-REC-00264,ASC272,Bottle gourd raita (Ghiya/Lauki ka raita),asc_manual,SRC-INDB,ASC272
GF-REC-00265,ASC273,Cucumber raita (Kheere ka raita),asc_manual,SRC-INDB,ASC273
GF-REC-00266,ASC274,Carrot and spinach raita (Gajar aur palak ka raita),asc_manual,SRC-INDB,ASC274
GF-REC-00267,ASC275,Mint raita (Pudinay ka raita),asc_manual,SRC-INDB,ASC275
GF-REC-00268,ASC276,Potato raita (Aloo ka raita),asc_manual,SRC-INDB,ASC276
GF-REC-00269,ASC277,Boondi raita,asc_manual,SRC-INDB,ASC277
GF-REC-00270,ASC278,Sweet raita (Meetha raita),asc_manual,SRC-INDB,ASC278
GF-REC-00271,ASC279,Dahi vadas/Dahi bhalla,asc_manual,SRC-INDB,ASC279
GF-REC-00272,ASC280,Gunjia,asc_manual,SRC-INDB,ASC280
GF-REC-00273,ASC281,Saunth/Sonth chutney with tamarind/imli,asc_manual,SRC-INDB,ASC281
GF-REC-00274,ASC282,Rice kheer (Chawal ki kheer),asc_manual,SRC-INDB,ASC282
GF-REC-00275,ASC283,Makhana kheer,asc_manual,SRC-INDB,ASC283
GF-REC-00276,ASC285,Vermicelli kheer (Semiya/Seviyan ki kheer),asc_manual,SRC-INDB,ASC285
GF-REC-00277,ASC286,Semolina kheer (Suji/Rava kheer),asc_manual,SRC-INDB,ASC286
GF-REC-00278,ASC287,Paneer kheer,asc_manual,SRC-INDB,ASC287
GF-REC-00279,ASC288,Cabbage kheer (Pattagobhi ki kheer),asc_manual,SRC-INDB,ASC288
GF-REC-00280,ASC289,Carrot kheer (Gajar ki kheer),asc_manual,SRC-INDB,ASC289
GF-REC-00281,ASC290,Cauliflower kheer (Phoolgobhi ki kheer),asc_manual,SRC-INDB,ASC290
GF-REC-00282,ASC291,Moong dal kheer,asc_manual,SRC-INDB,ASC291
GF-REC-00283,ASC292,Phirni,asc_manual,SRC-INDB,ASC292
GF-REC-00284,ASC293,Semolina halwa (Suji ka halwa),asc_manual,SRC-INDB,ASC293
GF-REC-00285,ASC294,Shahi suji halwa,asc_manual,SRC-INDB,ASC294
GF-REC-00286,ASC295,Carrot halwa (Gajar ka halwa),asc_manual,SRC-INDB,ASC295
GF-REC-00287,ASC296,Egg halwa (Ande ka halwa),asc_manual,SRC-INDB,ASC296
GF-REC-00288,ASC297,Potato halwa (Aloo ka halwa),asc_manual,SRC-INDB,ASC297
GF-REC-00289,ASC298,Pumpkin halwa (Kaddu ka halwa),asc_manual,SRC-INDB,ASC298
GF-REC-00290,ASC299,Moong dal halwa,asc_manual,SRC-INDB,ASC299
GF-REC-00291,ASC300,Caramel custard (steamed),asc_manual,SRC-INDB,ASC300
